Cd,Cu,Pb,Zn,Alkal,BOD,COD,Fecal_Col,Hardness,NO2,NO3,TDS,TSS,TKN,Total_P,Temp,DO,DO%,pH,Turb,Cond,Level,Flow,WQI
0.0002,0.011,0.003,0.008,52,2,19,240,65,0.297,0.01,114,72,0.966,0.142,20.8,7.5,83.8,7.27,9.61,131,,,79.53
0.0002,0.006,0.003,0.031,55,2,18,100,64.6,9.42,0.099,250,3,0.997,0.182,24.13,14.96,178.2,6.93,5.22,216,1.85,16,42.58
0.0002,0.003,0.003,0.008,75.9,2,14,180,77,0.069,0.01,159,1,0.231,0.091,25.58,23.41,286.5,8.07,2.05,266,,,52.55
0.0002,0.002,0.003,0.005,77,2,17,92,65.6,0.525,0.01,128,1,0.313,0.022,26.08,19.18,236.8,7.49,7.06,176,,,53.51
0.0002,0.006,0.003,0.008,73.7,2,17,172,80.8,0.136,0.01,156,2,0.301,0.058,27.36,16.07,230.1,7.42,4.19,251,2.04,2.4,52.49
0.0002,0.003,0.003,0.012,80.3,2,12,540,85.5,0.072,0.01,160,12,0.337,0.043,25.81,17.01,209.1,7.4,3.13,259,0.83,1.1,51.22
0.0002,0.003,0.003,0.005,81.4,2,19,320,77.9,0.125,0.01,130,2,0.259,0.019,26.59,24.93,310.6,7.96,8.83,221,0.6,0.78,50.98
0.0002,0.003,0.003,0.005,89.1,2,14,420,83.6,0.132,0.01,152,4,0.339,0.033,24.13,14.96,178.2,6.93,5.22,216,1.58,0.5,51.07
0.0002,0.004,0.003,0.005,80.3,2,17,2000,73.2,0.362,0.01,132,11,0.289,0.053,23.88,15.75,186.8,7.38,4.9,197,1.02,0.56,48.71
0.0002,0.003,0.003,0.005,109,2,16,19000,115,0.054,0.01,222,7,0.386,0.185,25.1,17.79,215.9,7.59,3.31,352,,,43.12
0.0002,0.002,0.003,0.005,89.1,2,13,164,87.4,0.05,0.01,161,1,0.294,0.027,24.93,18.63,225.3,7.65,4.2,262,2.59,1.1,52.99
0.0002,0.002,0.003,0.008,79.2,2,8,160,84.6,0.165,0.01,168,2,0.297,0.053,25.77,14.59,179.2,7.64,3.6,265,,,53.04
0.0002,0.002,0.003,0.005,44,2,10,29,38,0.05,0.01,83,1,0.358,0.01,24.83,11.97,144.5,6.84,2.23,120,0.51,4.1,56.19
0.0002,0.002,0.003,0.007,50.6,2,91,100,36.1,0.163,0.01,100,30,0.282,0.087,23.23,8.99,105.3,7.11,7.64,111,,,82.06
0.0002,0.005,0.003,0.005,40.7,2,5,44,39,0.197,0.01,95,6,0.172,0.017,23.6,10.34,122,6.78,7.99,175,1.44,1.1,76.28
0.0002,0.002,0.003,0.005,40.7,2,5,520,39,0.197,0.01,95,6,0.172,0.017,22.51,13.08,151.1,7.39,9.3,118,3.03,1.5,50.41
0.0002,0.013,0.003,0.005,70.4,2,9,228,55.1,0.145,0.01,118,3,0.125,0.021,23.33,13.27,155.7,7.44,9.08,151,2.22,0.46,52.13
0.0002,0.003,0.003,0.005,70.4,2,10,580,63.6,0.109,0.01,124,3,0.157,0.05,24.99,10.97,132.8,7.53,4.4,183,,,76.13
0.0002,0.002,0.003,0.005,58.8,2,9,196,55.1,0.163,0.01,130,3,0.159,0.057,24.87,13.66,164.9,7.57,3.41,178,,,52.79
0.0002,0.002,0.003,0.005,82.5,2,22,320,77.9,0.17,0.01,142,2,0.203,0.067,23.71,13.97,165.1,7.62,5.92,220,,,51.37
0.0002,0.006,0.003,0.033,47.3,2,21,400,60.8,11.5,0.037,275,3,0.841,0.162,22.11,7.67,88,7.42,3.12,421,1.84,8.9,60.57
0.0002,0.003,0.003,0.026,73.7,2,5,1120,83.3,0.05,0.01,166,1,0.231,0.09,19.74,9.65,105.7,8.18,1.82,174,,,86.7
0.0002,0.004,0.003,0.026,113,4.3,19,2200,93.1,0.05,0.01,191,6,0.551,0.066,21.44,6.69,75.7,7.47,15.6,256,,,82.97
0.0002,0.003,0.003,0.005,75.9,2,7,660,87.2,0.05,0.01,169,1,0.247,0.038,23.55,9.4,110.8,8,3.29,273,1.95,1.4,74.69
0.0002,0.002,0.003,0.005,83.6,2,10,960,93.1,0.05,0.01,167,8,0.277,0.032,20.68,7.72,86.1,7.81,2.56,262,0.89,0.25,76.23
0.0002,0.002,0.003,0.005,68.2,2,10,72,84.3,0.072,0.01,134,2,0.163,0.02,,,,,3.46,,0.62,0.32,
0.0002,0.003,0.003,0.005,78.1,2,14,600,87.2,0.079,0.01,136,14,0.296,0.04,19.44,7.05,76.8,7.48,4.79,227,1.57,0.83,
0.0002,0.002,0.003,0.01,84.7,2,7,360,69.6,0.085,0.01,151,7,0.231,0.043,19.19,7.81,84.5,7.54,3.69,214,0.99,0.05,79.13
0.0002,0.002,0.003,0.005,108,2,5,600,88.5,0.078,0.01,227,10,0.327,0.082,20.09,8.99,99.1,7.67,3.44,357,,,77.53
0.0002,0.003,0.003,0.005,90.7,2,9,236,85.3,0.05,0.01,178,2,0.248,0.03,19.38,8.09,88,7.84,2.42,271,2.53,2,80.85
0.0002,0.003,0.003,0.005,80.3,2,6,72,85.2,0.05,0.01,173,2,0.249,0.03,21.18,7.99,90.1,7.84,3.39,273,,,83.63
0.0002,0.002,0.003,0.005,39.6,2,9,47,80.4,0.05,0.01,78,1,0.26,0.011,19.72,8.82,96.5,7.4,1.71,125,0.64,1.7,86.68
0.0002,0.002,0.003,0.005,47.3,2,6,168,83.3,0.094,0.01,92,3,0.171,0.06,19.13,7.11,76.9,7.34,7.03,75,,,79.99
0.0002,0.002,0.003,0.005,60.5,2,5,172,75.2,0.07,0.01,121,6,0.21,0.052,20.17,9.68,106.8,7.34,7.75,177,2.1,1.5,81.05
0.0002,0.002,0.003,0.005,37.4,2,8,208,75.5,0.074,0.01,87,9,0.161,0.031,19.03,9.55,103.1,7.23,10.7,111,3.01,1.3,80.48
0.0002,0.002,0.003,0.005,64.9,2,5,216,81.3,0.069,0.01,110,4,0.16,0.02,19.13,10.59,114.5,7.31,11.7,153,2.17,0.62,79.9
0.0002,0.002,0.003,0.005,64.9,2,7,1000,87.2,0.05,0.01,125,3,0.103,0.076,20.61,10.06,112,7.52,4.66,190,,,89.67
0.0002,0.002,0.003,0.005,57.2,2,5,128,83.3,0.074,0.01,129,2,0.164,0.052,20.35,11.33,125.5,7.58,3.09,193,,,81.64
